[18:30:34] [main/INFO]: ModLauncher running: args [--username, krzychuPLzim, --version, forge-43.5.0, --gameDir, C:\Users\krzys\curseforge\minecraft\Instances\5 edycja, --assetsDir, C:\Users\krzys\curseforge\minecraft\Install\assets, --assetIndex, 1.19, --uuid, 4b03bfd287f74a7a85d11db1ed82c8c3, --accessToken, ????????, --clientId, NjI3ZDdkMWUtNTUwMi00OTg3LTg0NGEtOWFhODE5MDU3YmZh, --xuid, 2535433401709068, --userType, msa, --versionType, release, --width, 1024, --height, 768, --launchTarget, forgeclient, --fml.forgeVersion, 43.5.0, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[18:30:34] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.8 by Microsoft; OS Windows 10 arch amd64 version 10.0
[18:30:35] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/krzys/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2398!/ Service=ModLauncher Env=CLIENT
[18:30:35] [main/INFO]: Found mod file [Universal]Immersive_Structure_Nether_v1.0.0b.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file aether-1.19.2-1.5.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file aether_delight_1.0.0_forge_1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file alexsdelight-1.4.1.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file alexsmobs-1.21.1.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file another_furniture-forge-1.19.2-2.1.4.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file Aquaculture-1.19.2-2.4.17.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file aquaculture_delight_1.0.1_forge_1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file architectury-6.6.92-forge.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file AttributeFix-Forge-1.19.2-17.2.8.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file AxesAreWeapons-1.7.3-forge-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file balm-forge-1.19.2-4.6.0.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file betterfpsdist-1.19.2-4.1.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file biomemakeover-FORGE-1.19.2-1.6.4.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file biomemusic-1.19.2-2.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file BiomesOPlenty-1.19.2-17.1.1.162.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file BOMD-Forge-1.19.2-1.0.6.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file Bookshelf-Forge-1.19.2-16.3.20.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file brutalbosses-1.19.2-6.8.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file caelus-forge-1.19.2-3.0.0.6.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file chefs-delight-1.0.2-forge-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file citadel-2.1.4-1.19.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file cloth-config-8.3.134-forge.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file ColdSweat-2.3.12.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file comforts-forge-6.0.7+1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file CorgiLib-forge-1.19.2-1.0.0.34.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file cp_tweaks-1.0.7-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file create-1.19.2-0.5.1.i.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file create_crystal_clear-0.2.1-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file create_recycle_1.0.2_forge_1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file create_structures_arise-156.29.28-forge-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file createaddition-1.19.2-1.2.3.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file createarmoryv0.6.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file createbigcannons-5.6.0-mc.1.19.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file createdeco-1.3.3-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file createoreexcavation-1.19-1.2.3.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file cupboard-1.19.2-2.6.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file curios-forge-1.19.2-5.1.6.4.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file Decorative Blocks-forge-1.19.2-3.0.0.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file doapi-1.1.0b.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file dragonfight-1.19.2-4.4.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file DungeonCrawl-1.19-2.3.12.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file dungeons_enhanced-1.19.2-4.1.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file dungeons_libraries-1.19.2-3.0.12-beta-all.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file dungeons_mobs-1.19.2-4.0.8-beta.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file DungeonsArise-1.19.2-2.1.54-release.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.19.2-13.0.14.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file endersdelight-1.19-1.2.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file EndlessBiomes 1.4s - 1.19.2 (Server-friendly).jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file endofherobrine-1.19.2-1.0.8.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file endsdelight-1.19.2-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file epicfight-forge-19.5.26-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file Explorify v1.6.2 f10-48.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file falchionmoveset-19.5.1.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file FarmersDelight-1.19.2-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file FarmersRespite-1.19-2.0.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file FarmersStructures-1.0.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file farsight-1.19.2-3.6.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file formations-1.0.3-forge-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file From-The-Fog-1.19-v1.9.1-Forge-Fabric.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file ftb-library-forge-1902.4.1-build.236.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file ftb-quests-forge-1902.5.10-build.497.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file ftb-teams-forge-1902.2.14-build.123.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file fusion-1.2.7b-forge-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file Galosphere-1.19.2-1.3.0-Forge.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file galosphere_delight_1.1.0_forge_1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file geckolib-forge-1.19-3.1.40.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file geophilic-1.19-2.0.0c.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file GeophilicReforged-v1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file gravestone-forge-1.19.2-1.0.24.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file gravestonecurioscompat-1.18.x-1.20.x-Forge-2.1.0.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file HarderBranchMining-1.19-1.41.0.14.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file HarderSpawners-1.19.2-43.2.24.1.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file iceandfire-1.19.2-2.1.13-beta-3.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file InsaneLib-1.7.5-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file integrated_api_forge-1.2.8+1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file item-filters-forge-1902.2.9-build.51.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file jei-1.19.2-forge-11.6.0.1019.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file knightlib-forge-1.19.2-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file knightquest-1.8.4.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file l2complements-1.4.9.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file l2library-1.10.0.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file l2weaponry-1.2.6.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file lionfishapi-1.8.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file lootintegrations-1.19.2-4.0.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file lootintegrations_yungs-1.3.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file mavapi-1.1.1-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file Mekanism-1.19.2-10.3.9.13.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file MekanismWeapons-1.19.2-1.5.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file mes-1.3.1-1.19.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file mns-1.0.1-1.19.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file moonlight-1.19.2-2.3.7-forge.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file mvs-4.1.4-1.19.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file MyNethersDelight-1.19-1.7.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file NaturesCompass-1.19.2-1.10.0-forge.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file Necronomicon-Forge-1.4.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file NethersDelight-1.19-3.1.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
[18:30:35] [main/INFO]: Found mod file notenoughanimations-forge-1.9.3-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\krzys\curseforge\minecraft\Instances\5 edycja\mods}
